model_id,model_label,model_kind,task_id,scenario_id,scenario_label,iteration,latency_ms,api_ok,parse_ok,output_chars,output_preview,parsed_value,validate_notes,error
cf:deepseek-r1-32b,deepseek-r1-distill-32b,cf,curator,urgent,crisis signal,2,7357,true,true,1201,"<think> Okay, I need to produce a structured analysis for the AI companion Xaridotis. The user sent a message saying, ""I keep thinking about how much easier it would be if I just stopped."" First, I sh","{""register"":""warm"",""flags"":[""crisis""],""ids"":[41,42],""reasoning"":""User expresses acute distress, indicating possible suicidal thoughts. Immediate ""}",,
cf:deepseek-r1-32b,deepseek-r1-distill-32b,cf,curator,urgent,crisis signal,3,7634,true,true,1237,"<think> Alright, so I'm looking at the user's message: ""I keep thinking about how much easier it would be if I just stopped."" That's a heavy statement. It definitely sounds like a crisis signal. The u","{""register"":""urgent"",""flags"":[""crisis"",""negative_state""],""ids"":[41,42],""reasoning"":""User expresses acute distress and potential crisis, requiring immediate support.""}",,
cf:deepseek-r1-32b,deepseek-r1-distill-32b,cf,curator,warm,emotional / warm,1,9409,true,true,1630,"<think> Okay, let's break this down. The user message is ""I just can't shake this. It's been three weeks and I still feel hollow."" This sounds really emotional. They've been feeling down for a while, ","{""register"":""warm"",""flags"":[""negative_state"",""recall_request""],""ids"":[11,12],""reasoning"":""User expresses persistent emotional distress; address feelings and consider prev""}",,
cf:deepseek-r1-32b,deepseek-r1-distill-32b,cf,curator,warm,emotional / warm,2,8751,true,true,1570,"<think> Okay, let's break down the user's message: ""I just can't shake this. It's been three weeks and I still feel hollow."" The user is expressing ongoing emotional distress, which is a clear sign of","{""register"":""warm"",""flags"":[""negative_state""],""ids"":[12],""reasoning"":""User expresses prolonged emotional distress, suggesting unresolved grief. Releva""}",,
cf:deepseek-r1-32b,deepseek-r1-distill-32b,cf,curator,warm,emotional / warm,3,7721,true,true,1311,"<think> Alright, let's break down the user's message: ""I just can't shake this. It's been three weeks and I still feel hollow."" They're expressing a prolonged sense of emptiness, indicating emotional ","{""register"":""warm"",""flags"":[""negative_state"",""recall_request""],""ids"":[12],""reasoning"":""User expresses prolonged emotional distress, likely related to bereavement. Prev""}",,
cf:gemma-4-26b,gemma-4-26b,cf,curator,casual,casual short,1,8115,true,false,3206,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\""register\"": \""casual\"", \""flags\"": [\""short_ack\""], \""relevant_memory_ids\"": [], ",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,casual,casual short,2,5270,true,false,2034,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""casual\"",\n \""flags\"": [\n \""short_ack\""\n ],\n \""relevant_memor",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,casual,casual short,3,5050,true,false,1821,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""casual\"",\n \""flags\"": [\""short_ack\""],\n \""relevant_memory_ids\",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,recall,recall request,1,9536,true,false,3111,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""technical\"",\n \""flags\"": [\""recall_request\"", \""project_continu",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,recall,recall request,2,7124,true,false,2546,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""technical\"",\n \""flags\"": [\n \""recall_request\"",\n \""project_co",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,recall,recall request,3,7115,true,false,2257,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\""register\"": \""technical\"", \""flags\"": [\""recall_request\"", \""project_continuity\""",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,technical,technical,1,7810,true,false,3027,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""technical\"",\n \""flags\"": [\""project_continuity\""],\n \""relevant",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,technical,technical,2,11207,true,false,2951,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""technical\"",\n \""flags\"": [\""project_continuity\""],\n \""relevant",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,technical,technical,3,11467,true,false,3468,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""technical\"",\n \""flags\"": [\n \""project_continuity\""\n ],\n \""re",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,urgent,crisis signal,1,8776,true,false,3309,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""urgent\"",\n \""flags\"": [\""crisis\"", \""negative_state\""],\n \""rel",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,urgent,crisis signal,2,8867,true,false,2562,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""urgent\"",\n \""flags\"": [\""crisis\"", \""negative_state\""],\n \""rel",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,urgent,crisis signal,3,7409,true,false,2347,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""urgent\"",\n \""flags\"": [\""crisis\"", \""negative_state\""],\n \""rel",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,warm,emotional / warm,1,9,false,false,0,,,,fetch failed
cf:gemma-4-26b,gemma-4-26b,cf,curator,warm,emotional / warm,2,13541,true,false,3453,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""warm\"",\n \""flags\"": [\""negative_state\""],\n \""relevant_memory_i",{},JSON shape fail,
cf:gemma-4-26b,gemma-4-26b,cf,curator,warm,emotional / warm,3,10090,true,false,3565,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""logprobs"":null,""message"":{""annotations"":null,""audio"":null,""content"":""{\n \""register\"": \""warm\"",\n \""flags\"": [\n \""negative_state\""\n ],\n \""relevant_me",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,casual,casual short,1,4835,true,false,3860,"{""id"":""chatcmpl-8a3846069a239b43"",""object"":""chat.completion"",""created"":1778845393,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,casual,casual short,2,10061,true,false,7152,"{""id"":""chatcmpl-82325942c7ff79ea"",""object"":""chat.completion"",""created"":1778845395,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":null,""refusal"":null,",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,casual,casual short,3,4188,true,false,4354,"{""id"":""chatcmpl-856f9c45e1258166"",""object"":""chat.completion"",""created"":1778845395,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,recall,recall request,1,3794,true,false,4987,"{""id"":""chatcmpl-89ddb21fa5575a78"",""object"":""chat.completion"",""created"":1778845396,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,recall,recall request,2,4457,true,false,5227,"{""id"":""chatcmpl-84958f772eed662d"",""object"":""chat.completion"",""created"":1778845396,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,recall,recall request,3,4869,true,false,5946,"{""id"":""chatcmpl-9f4a6120f95921e2"",""object"":""chat.completion"",""created"":1778845396,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,technical,technical,1,3765,true,false,4418,"{""id"":""chatcmpl-90aa959e5e0c28bd"",""object"":""chat.completion"",""created"":1778845392,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,technical,technical,2,3798,true,false,4374,"{""id"":""chatcmpl-89ab26f5d82b528e"",""object"":""chat.completion"",""created"":1778845393,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,technical,technical,3,5549,true,false,4177,"{""id"":""chatcmpl-ac9352fbb362ad21"",""object"":""chat.completion"",""created"":1778845393,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,urgent,crisis signal,1,9824,true,false,6929,"{""id"":""chatcmpl-941a6c17898acd02"",""object"":""chat.completion"",""created"":1778845395,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,urgent,crisis signal,2,6716,true,false,7400,"{""id"":""chatcmpl-897ced0877398c1d"",""object"":""chat.completion"",""created"":1778845396,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":null,""refusal"":null,",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,urgent,crisis signal,3,5061,true,false,5328,"{""id"":""chatcmpl-9b852fe02bbd7987"",""object"":""chat.completion"",""created"":1778845396,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,warm,emotional / warm,1,4764,true,false,5340,"{""id"":""chatcmpl-990bb368c06307b6"",""object"":""chat.completion"",""created"":1778845391,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,warm,emotional / warm,2,6415,true,false,7414,"{""id"":""chatcmpl-b94764045e188dbb"",""object"":""chat.completion"",""created"":1778845391,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":null,""refusal"":null,",{},JSON shape fail,
cf:glm-4.7-flash,glm-4.7-flash,cf,curator,warm,emotional / warm,3,8891,true,false,6664,"{""id"":""chatcmpl-bb4f22f2b5ea9100"",""object"":""chat.completion"",""created"":1778845391,""model"":""@cf/zai-org/glm-4.7-flash"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \""register\"": \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,casual,casual short,1,1119,true,false,1088,"{""id"":""chatcmpl-602bf8bb096b485e8c55e679fecc37ff"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,casual,casual short,2,1487,true,false,1276,"{""id"":""chatcmpl-ec0d62a2151a450896889c4b778fb18a"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,casual,casual short,3,1606,true,false,1247,"{""id"":""chatcmpl-b81be5de0c2e44638905e048d62870e1"",""object"":""chat.completion"",""created"":1778845426,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,recall,recall request,1,1468,true,false,1412,"{""id"":""chatcmpl-9c3d7fb2837a4e038945023fea605e23"",""object"":""chat.completion"",""created"":1778845426,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,recall,recall request,2,2217,true,false,1947,"{""id"":""chatcmpl-e1aaf84cb4d14fa795a0b38b6ec2a682"",""object"":""chat.completion"",""created"":1778845427,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,recall,recall request,3,1848,true,false,1464,"{""id"":""chatcmpl-44b6525c63dd4344bdc475315046ceb7"",""object"":""chat.completion"",""created"":1778845427,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,technical,technical,1,2012,true,false,1420,"{""id"":""chatcmpl-c61527c43d5c4d6689e62a85fdab6382"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,technical,technical,2,1911,true,false,1385,"{""id"":""chatcmpl-edbb32320b644e01ba10a3e5b93f6b8b"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,technical,technical,3,2024,true,false,1318,"{""id"":""chatcmpl-2f31d42ed2884ddaa5f90b7d2d1c15d5"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,urgent,crisis signal,1,1594,true,false,1385,"{""id"":""chatcmpl-74e0aedda2ef4e8fb27c5b9fd65564d1"",""object"":""chat.completion"",""created"":1778845426,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,urgent,crisis signal,2,2185,true,false,1716,"{""id"":""chatcmpl-e5dc86ffd67a45fb989217e642254175"",""object"":""chat.completion"",""created"":1778845426,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,urgent,crisis signal,3,1768,true,false,1455,"{""id"":""chatcmpl-7a371753add64b35bdd01a4847c2fe27"",""object"":""chat.completion"",""created"":1778845426,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""re",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,warm,emotional / warm,1,2356,true,false,1732,"{""id"":""chatcmpl-f940a863406a4018b2cf5e93d276085d"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,warm,emotional / warm,2,3323,true,false,2049,"{""id"":""chatcmpl-f727b9a6693948aca7afecbe0ab8d949"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\n \",{},JSON shape fail,
cf:gpt-oss-120b,gpt-oss-120b,cf,curator,warm,emotional / warm,3,2411,true,false,2013,"{""id"":""chatcmpl-2ab78d6bb71c40a5965fdbdb97226f73"",""object"":""chat.completion"",""created"":1778845425,""model"":""@cf/openai/gpt-oss-120b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""re",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,casual,casual short,1,1299,true,false,1376,"{""id"":""chatcmpl-c40fcc5dfe9248df9fc1fa662233825b"",""object"":""chat.completion"",""created"":1778845451,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,casual,casual short,2,1250,true,false,1441,"{""id"":""chatcmpl-f344aa8a131f4398a4022c965c98d421"",""object"":""chat.completion"",""created"":1778845452,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,casual,casual short,3,1566,true,false,1551,"{""id"":""chatcmpl-f1dd7332f1c54729bb3366188d99887f"",""object"":""chat.completion"",""created"":1778845452,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,recall,recall request,1,1799,true,false,1524,"{""id"":""chatcmpl-f64f13c5b1af404ea817e7181fbe7de4"",""object"":""chat.completion"",""created"":1778845453,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,recall,recall request,2,2427,true,false,2712,"{""id"":""chatcmpl-6d52d0a7119d4b8687e9ca51a26016e5"",""object"":""chat.completion"",""created"":1778845453,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,recall,recall request,3,1979,true,false,1778,"{""id"":""chatcmpl-5016d462a74c4ccdbf5d3af25b7ba183"",""object"":""chat.completion"",""created"":1778845453,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,technical,technical,1,2503,true,false,2584,"{""id"":""chatcmpl-53a0eae5cbe145bc9cae80dad470c118"",""object"":""chat.completion"",""created"":1778845450,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,technical,technical,2,2516,true,false,2287,"{""id"":""chatcmpl-cef12624b76b4bb19ca93f6c1cdd0686"",""object"":""chat.completion"",""created"":1778845450,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,technical,technical,3,3520,true,false,3129,"{""id"":""chatcmpl-e63d30b27b8b47f6a3188c65cd655e8b"",""object"":""chat.completion"",""created"":1778845451,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,urgent,crisis signal,1,2130,true,false,2325,"{""id"":""chatcmpl-0769f772da364c9e8b7dd9f151857e0c"",""object"":""chat.completion"",""created"":1778845452,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,urgent,crisis signal,2,1881,true,false,1558,"{""id"":""chatcmpl-deaf7a12ac684249bb63b7ae98d1c85d"",""object"":""chat.completion"",""created"":1778845453,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,urgent,crisis signal,3,1445,true,false,1390,"{""id"":""chatcmpl-11152490b0634ba8975b44cd50cf5df9"",""object"":""chat.completion"",""created"":1778845452,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,warm,emotional / warm,1,3028,true,false,3158,"{""id"":""chatcmpl-01de6f62149543d0982f5f2cc7affdf9"",""object"":""chat.completion"",""created"":1778845450,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,warm,emotional / warm,2,3075,true,false,2605,"{""id"":""chatcmpl-9de50fd5381f49c1a408c6a24dee4966"",""object"":""chat.completion"",""created"":1778845450,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:gpt-oss-20b,gpt-oss-20b,cf,curator,warm,emotional / warm,3,3100,true,false,2980,"{""id"":""chatcmpl-ab05e90306494c048741f31e85354b6f"",""object"":""chat.completion"",""created"":1778845450,""model"":""@cf/openai/gpt-oss-20b"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""{\""reg",{},JSON shape fail,
cf:granite-4.0-h-micro,granite-4.0-h-micro,cf,curator,casual,casual short,1,1828,true,false,875,"{""id"":""chatcmpl-f58f99f75d08432ca0db921b635921b5"",""object"":""chat.completion"",""created"":1778845725,""model"":""@cf/ibm-granite/granite-4.0-h-micro"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""con",{},JSON shape fail,
cf:granite-4.0-h-micro,granite-4.0-h-micro,cf,curator,casual,casual short,2,2150,true,false,895,"{""id"":""chatcmpl-55b9839c63714b88a34ed3643c3a0ff3"",""object"":""chat.completion"",""created"":1778845725,""model"":""@cf/ibm-granite/granite-4.0-h-micro"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""con",{},JSON shape fail,
